Date,Price_50kg,Paint_Price,Retail_Mudu,Profit_Mudu,FX_Rate,Inflation_Pct,Festive,Harvest,Shock,Margin_Pct
2023-06-01,38000,3642,1366,178,770,22.8,0,0,1,15
2023-07-01,42000,4025,1509,197,776,24.1,0,1,1,15
2023-08-01,45000,4313,1617,211,772,25.8,0,1,0,15
2023-09-01,48000,4600,1725,225,787,26.7,0,1,0,15
2023-10-01,52000,4983,1869,244,749,27.3,0,1,0,15
2023-11-01,55000,5271,1977,258,804,28.2,0,1,0,15
2023-12-01,58000,5558,2084,272,903,28.9,1,1,0,15
2024-01-01,62000,5942,2228,291,957,29.9,0,0,0,15
2024-02-01,70000,6708,2516,328,1493,31.7,0,0,1,15
2024-03-01,75000,7188,2695,352,1593,33.2,0,1,0,15
2024-04-01,72000,6900,2588,338,1149,33.7,0,1,0,15
2024-05-01,74000,7092,2659,347,1486,34.0,0,0,0,15
2024-06-01,77000,7379,2767,361,1482,34.2,0,0,0,15
2024-07-01,80000,7667,2875,375,1550,33.5,0,1,0,15
2024-08-01,82000,7858,2947,384,1600,33.0,0,1,0,15
2024-09-01,85000,8146,3055,399,1667,32.7,0,1,0,15
2024-10-01,88000,8433,3163,413,1600,33.0,0,1,0,15
2024-11-01,90000,8625,3234,422,1580,33.5,0,1,0,15
2024-12-01,92000,8817,3306,431,1549,34.6,1,1,0,15
2025-01-01,88000,8433,3163,413,1520,30.0,0,0,0,15
2025-02-01,85000,8146,3055,399,1510,28.0,0,0,0,15
2025-03-01,82000,7858,2947,384,1500,26.0,0,1,0,15
2025-04-01,80000,7667,2875,375,1490,24.0,0,1,0,15
2025-05-01,78000,7475,2803,366,1480,22.0,0,0,0,15
2025-06-01,75000,7188,2695,352,1542,28.0,0,0,0,15
2025-07-01,73000,6996,2623,342,1530,20.0,0,1,0,15
2025-08-01,72000,6900,2588,338,1520,19.0,0,1,0,15
2025-09-01,70000,6708,2516,328,1510,18.0,0,1,0,15
2025-10-01,68000,6517,2444,319,1500,17.0,0,1,0,15
2025-11-01,67000,6421,2408,314,1480,16.5,0,1,0,15
2025-12-01,70000,6708,2516,328,1452,16.0,1,1,0,15
2026-01-01,68000,6517,2444,319,1434,15.5,0,0,0,15
2026-02-01,65000,6229,2336,305,1371,15.0,0,0,0,15
